;Descrição;Preço;TotalReviews;Loja;Categoria;Tipo
1611;"Samsung Smart TV 55"" QLED 4K The Frame 2021 55LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão Molduras customizáveis Modo Arte";4699.99;0.0;Americanas;TV;4k
1613;Smart TV LED 55” LG 55NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial Thinqai Smart Magic Google Alexa;4399.99;0.0;Americanas;TV;4k
1614;"Samsung Smart Tv 60"" Uhd 4k 60au7700, Processador Crystal 4k.";3599.99;0.0;Americanas;TV;4k
1615;Smart TV LED 65” LG 65NANO85 4K NanoCell 120hz Freesync 2 Hdmi 2.1 Inteligência Artificial ThinQ Google Alexa;6399.99;1.0;Americanas;TV;4k
1617;Smart TV LED 65” LG 65NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial ThinQAI Smart Magic Google Alexa;5799.99;0.0;Americanas;TV;4k
1618;Smart TV LED 75” LG 75NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial ThinQAI Smart Magic Google Alexa;7999.99;3.0;Americanas;TV;4k
1619;Smart TV LED 65'' LG 65NANO81 Ultra HD 4K NanoCell IPS WiFi Bluetooth HDR Inteligencia Artificial ThinQAI Google Assistente Alexa IOT;5432.09;3.0;Americanas;TV;4k
1620;Smart TV Samsung uhd Processador Crystal 4K 58AU7700 Tela sem limites Visual Livre de Cabos 58'';3846.0;0.0;Americanas;TV;4k
1621;"Smart TV QLED 55"" UHD 4K Samsung The Frame QN55LS03TAG Modo Arte Modo Ambiente 3.0 com Molduras Customizáveis Única Conexão - 2020";5599.99;7.0;Americanas;TV;4k
1622;"Samsung Smart TV 70"" UHD 4K 70AU7700, Processador Crystal 4K, Tela Sem Limites,  Alexa Built In + Samsung Smart TV LED 32'' Tizen HD 32T4300 Wi-Fi HDR, Plataforma Tizen, 2 HDMI, 1 USB";7499.99;0.0;Americanas;TV;4k
1623;Smart TV LED 82” LG 82UP8050 4K UHD Wi-Fi Bluetooth HDR Inteligência Artificial Thinq Smart Magic Google Alexa;10069.99;2.0;Americanas;TV;4k
1624;Smart TV Samsung Crystal uhd 4K 60 Tela sem Limites, Visual Livre de Cabos, Alexa built in, Controle Único - 60AU7700;3652.46;0.0;Americanas;TV;4k
1625;"Samsung Smart TV 60"" Crystal UHD 4K 60AU8000 Painel Dynamic Crystal Color Design Slim Tela sem Limites + Soundbar Samsung HW-T555 2.1 Canais 320W Wireless Bluetooth Subwoofer HDMI";6699.99;0.0;Americanas;TV;4k
1626;Smart TV LED 55” LG 55UP7750  4K UHD 55UP7750 Wi-Fi Bluetooth HDR Inteligência Artificial ThinQ Smart Magic Google Alexa;2918.01;0.0;Americanas;TV;4k
1627;Samsung Smart TV Crystal uhd 4K 60, Slim, Tela sem Limites, Visual Livre de Cabos, Alexa e Wi-Fi - 60AU8000;3953.77;0.0;Americanas;TV;4k
1629;"Samsung Smart TV 70"" UHD 4K 70AU7700 Processador Crystal 4K Tela sem Limites Visual Livre de Cabos Alexa Built In + Soundbar Samsung HW-T555 2.1 Canais 320W Wireless Bluetooth Subwoofer HDMI";7599.99;0.0;Americanas;TV;4k
1630;"Samsung Smart TV QLED 4K The Frame 55"" QN55LS03TAGXZD 2020, com Modo Arte + Samsung Smart TV LED 32'' Tizen HD 32T4300 2020 - WIFI, HDR";8599.99;0.0;Americanas;TV;4k
1631;Tv 50 Smart 4K Roku Philco;2276.01;0.0;Americanas;TV;4k
1632;"Samsung Smart TV 65"" UHD 4K 65AU7700 Processador Crystal 4K Tela sem Limites Visual Livre de Cabos Alexa Built In + Soundbar Samsung HW-T555 2.1 Canais 320W Wireless Bluetooth Subwoofer HDMI";6999.99;0.0;Americanas;TV;4k
1633;"Smart TV LED 43"" LG 43UH6100 Ultra HD Painel IPS 4K com Upscaler e Conversor Digital Integrado Wi-Fi HDR Pro Ultra Surround";4099.99;46.0;Americanas;TV;4k
1634;"Smart TV LG 55"" 4K NanoCell 55NANO80 Inteligência Artificial ThinQ AI Smart Magic Google Alexa + Fone de Ouvido LG FN6W Bluetooth UV Nano Meridian Resistente à Água";4499.99;0.0;Americanas;TV;4k
1635;"Smart TV 65"" LG 65UN731C, LED 4K UHD Wi-fi Integrado, Assistente Virtual, HDMI, webOS, Preta";4046.05;1.0;Americanas;TV;4k
1636;"Smart TV LG 55"" 4K NanoCell 55NANO85 120HZ Freesync Inteligência Artificial ThinQ Google Alexa + Fone de Ouvido LG FN6W Bluetooth UV Nano Meridian Resistente à Água";5199.99;0.0;Americanas;TV;4k
1637;Samsung Smart TV Crystal uhd 4K 65, Slim, Tela sem Limites, Visual Livre de Cabos, Alexa e Wi-Fi - 65AU8000;4995.83;0.0;Americanas;TV;4k
1638;Smart TV Samsung qled 4K 50Q60A Design Slim Modo Game Som em Movimento Virtual Visual Sem Cabos 50;4159.0;0.0;Americanas;TV;4k
1639;Smart Tv LED 58 Polegadas PTV58G70RCBL uhd 4K Wifi App Mobile Roku Philco;2672.01;0.0;Americanas;TV;4k
1640;"Smart TV LG 65"" 4K NanoCell 65NANO85 120HZ Freesync Inteligência Artificial ThinQ Google Alexa + Fone de Ouvido LG FN6W Bluetooth UV Nano Meridian Resistente à Água";6499.99;0.0;Americanas;TV;4k
1641;"Smart TV LED Android 65"" Philco PH65G60DSGWAG Ultra HD 4K  com Conversor Digital 3 HDMI 2 USB com Google 60hz - Preta";5230.35;22.0;Americanas;TV;4k
1642;"Smart TV LG 65"" 4K NanoCell 65NANO80 Inteligência Artificial ThinQ AI Smart Magic Google Alexa + Fone de Ouvido LG FN6W Bluetooth UV Nano Meridian Resistente à Água";5999.99;0.0;Americanas;TV;4k
1643;"Samsung Smart TV 50"" Crystal UHD 50TU7000 4K, Borda Infinita, Bluetooth - Grátis Fone JBL 500BT Sem Fio";4099.0;0.0;Americanas;TV;4k
1644;Smart TV Samsung Crystal UHD 4K 55AU9000 Design Slim Som em Movimento Virtual Visual Sem Cabos;4679.0;0.0;Americanas;TV;4k
1645;Smart TV LG 50 4K, Ultra HD LED 50NANO75SPA, ThinQ ai, Wi-fi Integrado;3072.94;0.0;Americanas;TV;4k
1646;Smart TV 4K LG oled 55 com Inteligência Artificial ThinQ ai, Google Alexa e Wi-Fi - OLED55A1PSA;4543.44;0.0;Americanas;TV;4k
1647;"Smart TV LED 75"" Philco PTV75e30DSWNT Ultra HD 4k com Conversor Digital 3 HDMI 2 USB Wi-Fi 60Hz - Titânio";9999.9;8.0;Americanas;TV;4k
1648;Smart TV 55NANO75 55 Polegadas 4K NanoCell HDMI 2.0 LG;3761.01;0.0;Americanas;TV;4k
1651;"Smart TV LED 55"" Samsung UN55AU7700GXZD 4K UHD HDR Cristal com Wi-Fi, 1 USB, 3 HDMI, Alexa Built In,Tizen, Tela sem Limites,60hz";3239.1;0.0;Americanas;TV;4k
1652;Smart TV LED 55UP775055 55 Polegadas UHD 4K Bluetooth, Wifi, HDR, Webos 6.0, Inteligência Artificial, Google e Alexa LG;3266.01;0.0;Americanas;TV;4k
1653;Smart TV 4K Samsung qled 55 com Modo Game, Alexa built in e Wi-Fi - QN55Q70AAGXZD;3906.32;0.0;Americanas;TV;4k
1654;Smart TV LG LED 75 Polegadas 4K UHD HDR Wi-Fi WebOS 6.0 Comando de Voz 75UP8050PSB;7373.75;0.0;Americanas;TV;4k
1655;Smart TV 4K Samsung qled 65 com Design Slim, Alexa built in e Wi-Fi - QN65Q70AAGXZD;6401.12;0.0;Americanas;TV;4k
1656;"Smart TV LCD LED 55"" Philips 55PUG7625/78 4K UHD HDR10+, 2USB, Wi-Fi, Bluetooth, 3 HDMI e 60 Hz";2836.63;0.0;Americanas;TV;4k
1657;Smart TV LG 50 4K uhd 50UP7750 WiFi Bluetooth hdr Inteligência Artificial ThinQ Smart Magic Google Alexa Preto Bivolt;3068.01;0.0;Americanas;TV;4k
1658;"Smart TV QLED 55"" Samsung QN55Q60AAGXZD 4K UHD HDR Wi-Fi, 2 USB, 3 HDMI, Alexa Built In,Modo Game, Tela sem Limites,60hz";3530.05;0.0;Americanas;TV;4k
1659;"Smart TV LCD LED 65"" Philips 65PUG7625/78 4K UHD HDR10+, 2USB, Wi-Fi, Bluetooth, 3 HDMI e 60 Hz";4265.19;0.0;Americanas;TV;4k
1660;Smart TV LED 70 Polegadas 4K uhd 70UP7750PSB USB hdmi LG;5246.01;0.0;Americanas;TV;4k
1661;Smart TV Samsung LED 4K 50 Wi-Fi Tizen Comando de Voz UN50AU7700GXZD;3527.0;0.0;Americanas;TV;4k
1663;Smart TV tcl LED Ultra HD 4K 75 Android TV com Google Assistant, Borda Ultrafina e Wi-Fi - 75P715;5912.3;2.0;Americanas;TV;4k
1664;Smart TV 4K 55 Philco LED UHD PTV55G70SBLSG HDR 4 HDMI 2 USB;4209.9;0.0;Americanas;TV;4k
1666;Smart TV Samsung qled 4K 43, Slim Frame, com Modo Arte, Molduras Costumizáveis e Conexão Única - 43LS03AA;4054.23;0.0;Americanas;TV;4k
1667;Smart TV Philco 55 PTV55G72SBL 4K qled - Outlet;3019.9;1.0;Americanas;TV;4k
