nome;num_avali;avali;preco
Smart TV 40` Philco D-LED HD PTV40G60SNBL Wi-Fi com Midia Cast DTV 3 HDMI 2 USB;0;0;2859.00
Smart Tv 65 Polegadas Samsung UHD 4K BE65T-H Series Cinza Titan;5;4.5;2045.58
"Smart TV 60"" UHD 4K Samsung 60AU7700 Processador Crystal 4K Wi-Fi Bluetooth Google Assistente 3 HDMI";0;0;3148.10
"Smart TV Samsung 50"" Crystal UHD 4K 50AU8000 Design Slim Dynamic Crystal Color Visual Sem Cabos";0;0;4889.99
"Smart TV LED 32LM625 32"" Wi-Fi / HDMI / USB Preta - LG";1;5.0;3099.00
Smart TV Philips LED 4K UHD 58” 58PUG7625/78, 3 HDMI, 2 USB, Wi-fi Integrado;0;0;2599.90
"Smart TV LED LG 24"" 24TL520S HD Wi-Fi integrado USB HDMI";21;5.0;2299.90
Smart TV LG 43`` Full HD HDR 43LM6300PSB webOS 4.5 ThinQ AI Processador Quad Core;0;0;1899.90
Smart TV 32`` Semp LED Wifi HD USB HDMI Comando De Voz S5300;0;0;4064.90
Smart TV LED 43” Full HD Samsung LH43BET com HDR, Sistema Operacional Tizen, Wi-Fi, Dolby Digital Plus, HDMI e USB;3;4.5;3199.99
Smart Tv 32Lm621cbsb Lg Pro 32``;0;0;4974.90
"Smart TV LED 32"" Samsung 32T4300 Plataforma Tizen 2 HDMI 1 USB HD-WI-FI";0;0;6459.00
Smart Tv Led 50 Polegadas 4k Ultra Hd Tc-50hx550b Panasonic;0;0;3199.90
"Smart TV LED 55"" Samsung UN55AU7700GXZD 4K UHD HDR Cristal com Wi-Fi, 1 USB, 3 HDMI, Alexa Built In,Tizen, Tela sem Limites,60hz";0;0;2899.00
"Smart TV Philips 58"" PUG7625 4K UHD P5 WI-FI Bluetooth HDR 3 HDMI 2 USB";0;0;1549.00
Smart TV LG 43`` Full HD LED 43LM6370PSB WiFi Bluetooth HDR ThinQ Al 3 HDMI 2 USB Preto Bivolt;0;0;7799.00
Smart Tv 32T4300 Tizen Samsung 32``;0;0;3699.00
Smart TV Led LG 32 Polegadas HD Thinq AI 32LM625BPSB;0;0;2599.90
Smart TV 55NANO75 55 Polegadas 4K NanoCell HDMI 2.0 LG;0;0;2991.99
"Smart TV LED 40"" Panasonic TC-40FS500B Full HD";0;0;4376.90
"Smart TV LED 58"" Full HD Philco PH58E20DSGWAS com Android, ApToide, Som Surround, Midiacast, DNR, Entradas HDMI e USB";0;0;1999.00
Smart TV LED 70 Polegadas 4K UHD 70UP7750PSB USB HDMI LG;0;0;6632.90
"Smart TV Crystal 4K UN50AU7700GXZD 50"" HDR Wifi HDMI Samsung";0;0;2199.00
Smart TV Semp 50 Polegadas 4K LED UHD com Bluetooth e Android SK8300;0;0;3899.90
