nome;num_avali;avali;preco
"Notebook Vaio FE15 VJFE52F11X-B1212S Intel Core i7-10510U 8GB 256GB SSD M.2 15.6"" Full HD Windows 10 Home - Prata";0;0;5919.00
"Notebook Samsung Dual Core 4GB 500GB Tela 15.6"" Windows 10 Book E20 NP550XCJ-KO1BR";358;4.5;1799.00
Notebook Gamer Asus NVIDIA GeForce GTX 1050 AMD Ryzen 5 8GB 1TB Tela Full HD 15.6” Windows 10 M570DD-DM122T + Microsoft 365 Personal;5;5.0;2639.00
Notebook Gamer Acer NVIDIA GeForce GTX 1650 Core i5-9300H 8GB 1TB 128GB SSD Aspire Nitro 5 AN515-54-528V + Controle Sem Fio Xbox Series S Robot White;0;0;4999.00
Notebook Positivo Motion Q464C Tela 14 4GB Quad Core;8;4.5;4603.15
Notebook Compaq Presario 430 Intel Core i3-6157U 4GB 120GB SSD Tela LED HD 14.1” Windows 10;11;4.5;7999.00
"Notebook Lenovo BS145 i5 8GB 256GB SSD MX110 2GB Windows 10 Pro 15.6"" Antirreflexo 81V8000GBR Preto";0;0;99999.00
Notebook Samsung Expert X30 Intel I5 8Gb 1Tb 15,6 Branco;0;0;12999.00
"Mácbook Air 13"" Applê M1 (8gb 256gb Ssd) Cinza Espacial";0;0;9979.00
"Notebook Asus RYZEN 5 3500U 8GB 1TB Tela 15,6"" Windows 10 Home M509DA-BR324T – Cinza Escuro";37;5.0;5918.81
Notebook Acer Aspire 5 A515-54-70CM Intel Core i7 8GB 512GB SSD 15,6` Endless;0;0;6078.00
"Notebook Dell Alienware m15 R6 i1100-M20P 15.6"" FHD 11ª ger Intel Core i7 16GB 1TB SSD RTX 3060 Win 11";0;0;10490.00
"Notebook Gamer Dell G15-i1100-M50PB 15.6"" FHD 11ª Ger Intel Core i7 16GB 512GB SSD NVIDIA RTX 3060 Windows 11 + Mochila";0;0;2799.99
"Notebook Gamer Lenovo, Intel® CoreT i5, 8GB, 256GB SSD, Tela de 15,6"", Chameleon Blue, ideaPad Gaming 3i - 82CG0002BR";91;5.0;8386.09
Notebook Gamer Acer AMD Ryzen 7 8GB 512GB SSD Tela 15.6” Windows 10 Nitro 5 AN515-44-R8HN + Microsoft 365 Personal;0;0;3599.00
"Mácbook Pro 13"" Applê M1 (8gb 256gb Ssd) Cinza Espacial";0;0;4699.00
Notebook Lenovo I3 / 4Gb / Ssd 128Gb Midnight Blue;0;0;3299.99
Notebook Lenovo E14 Gen 2 Amd Ryzen 5 4500u Windows 10 Pro;0;0;3339.99
Notebook Acer Aspire 3 A315-56-311J Intel Core i3 10ª Gen Windows 10 Home 8GB 256GB SSD 15,6` FHD;0;0;3599.00
Notebook Acer Aspire 5 I3-1005g1 8gb 512 Ssd Tela 14 Hd;0;0;5749.00
Notebook Acer Aspire 5 A514-53-39KH Intel Core I3 8GB ram 256GB ssd 14` Windows 10;0;0;6399.00
Notebook Dell Inspiron i15-3501 - Tela 15.6, Intel i3 1005G1;0;0;2626.00
Notebook Asus AMD Ryzen 5-3500U 8GB 256GB SSD Tela Full HD 15.6” Windows 10 M515DA-EJ502T;8;5.0;9999.00
Notebook Lenovo Ideapad Core I3-10110u 20gb 1tbssd+1tb 15,6;0;0;13999.00
Notebook Acer A315 Core I3-1005g1 12gb 2tb Ssd Tela 15,6 Hd;0;0;5303.47
Notebook Lenovo Ideapad S145-15Iwl 2.3Ghz/4Gb/500Gb;0;0;15199.00
"Mácbook Air 13"" Applê M1 (8gb 512gb Ssd) Cinza Espacial";0;0;5849.00
"Notebook Dell Alienware m15 R6 i1100-M30P 15.6"" FHD 11ª ger Intel Core i7 16GB 1TB SSD RTX 3070 Win 11";0;0;6299.00
"Notebook Samsung Book Intel Core I5 1135G7 - Iris® Xe, Windows 10 Home 1TB HD, 8GB RAM , Tela ""15.6"" Iintel IRIS XE - Prata";0;0;4498.80
Notebook Asus Tuf Gamer I7 24gb 1tb Ssd 3060 6gb 15,6 Fhd;0;0;6199.00
Notebook Acer Intel Core I7-10510u 8gb 512ssd+1tb 15,6 Fhd Customizado;0;0;3499.00
Notebook Acer Intel Core I7-10510u 20gb 512ssd+1tb 15,6 Fhd Customizado;0;0;3849.00
Notebook Asus X515JF-EJ153T - Full HD, Intel i5 1035G1, 8GB, SSD 256GB, GeForce MX130, Windows 10;0;0;3899.00
"Notebook Gamer Dell G15-i1000-M10P 15.6"" FHD 10ª Geração Intel Core i5 8GB 256GB SSD NVIDIA 1650 Windows 11";0;0;7736.30
"Notebook Dell Inspiron i3501-M25P 15.6"" HD 10ª Geração Intel Core i3 4GB 256GB SSD Windows 10 Preto";12;5.0;6599.00
Notebook Lenovo Ideapad Core I3-10110u 4gb 128ssd+1tb 15,6;0;0;4199.00
Notebook Acer A315 Core I3-1005g1 4gb 256 Ssd Tela 15,6 Hd;0;0;4849.00
Notebook Lenovo Ideapad 3 Amd Ryzen 5 SSD 256Gb RAM 8GB Blue;0;0;5908.66
Notebook Dell Inspiron I5-1035g1 32gb 512ssd+1t Tela 15,6 Hd;0;0;5299.00
Notebook Lenovo Ideapad Core I3-10110u 8gb 256ssd+1tb 15,6;0;0;6199.00
Notebook Acer A315 Core I3-1005g1 4gb 512ssd+2tb 15,6 Hd;0;0;5249.00
"Notebook Lenovo IdeaPad Flex 5i i5-1135G7 8GB 256GB SSD W10 14"" FHD WVA Intel Iris® Xe, Grafite";0;0;9499.00
