descricao;preco;avaliacao;quantidade_avaliacoes;URL
"Console Portátil Opendingux Retromini 2.0"" - Preto";472.99;5;0;https://www.magazineluiza.com.br/console-portatil-opendingux-retromini-2-0-preto-vila-brasil/p/fh2g15e7d9/ga/otga/
Alex Kidd in Miracle World DX - PS4;262.94;5;0;https://www.magazineluiza.com.br/alex-kidd-in-miracle-world-dx-ps4-sony/p/ed4j8agef1/ga/gps4/
Nintendo Switch 32GB Console Joy- Con Neon Azul e Vermelho;2761.65;5;0;https://www.magazineluiza.com.br/nintendo-switch-32gb-console-joy-con-neon-azul-e-vermelho/p/jhbce3689j/ga/gans/
Console Gamedroid Gamer C/ 2 Controles Gamedroid Gamer;498.32;5;0;https://www.magazineluiza.com.br/console-gamedroid-gamer-c-2-controles-gamedroid-gamer/p/ghha4e2898/ga/otga/
Console Atari Flashback 8 Classic Game com 105 Jogos Atari;409.0;5;0;https://www.magazineluiza.com.br/console-atari-flashback-8-classic-game-com-105-jogos-atari/p/agb8c6acb9/ga/gaat/
Controle de Console Playstation 2;45.36;5;0;https://www.magazineluiza.com.br/controle-de-console-playstation-2-internacional/p/hge0dk2465/ga/gap2/
Pokemon Shield - Switch;379.1;5;0;https://www.magazineluiza.com.br/pokemon-shield-switch-nintendo/p/gh6c67c077/ga/gans/
Console Fun Game 132 In 1 Cor  Preto;17.64;5;0;https://www.magazineluiza.com.br/console-fun-game-132-in-1-cor-preto-arkbrinks/p/bcakg9jgg0/ga/otga/
Capa PS5 Controle Case - The Last Of Us Part II Bundle;31.49;5;0;https://www.magazineluiza.com.br/capa-ps5-controle-case-the-last-of-us-part-ii-bundle-pop-arte-skins/p/eh6fg31k8a/ga/gps4/
Mini fliperama retrô bandai namco museum hits mini player preto;1427.55;5;0;https://www.magazineluiza.com.br/mini-fliperama-retro-bandai-namco-museum-hits-mini-player-preto-dreamgear/p/efe08ch28g/ga/otga/
Console Atari Flashback 8 Classic Game com 105 Jogos AR3220 Atari;427.41;5;0;https://www.magazineluiza.com.br/console-atari-flashback-8-classic-game-com-105-jogos-ar3220-atari/p/ckf12hajek/ga/cojc/
Alex Kidd in Miracle World DX - PS5;262.94;5;0;https://www.magazineluiza.com.br/alex-kidd-in-miracle-world-dx-ps5-sony/p/kajbhef223/ga/otga/
4;8.99;5;0;https://www.magazineluiza.com.br/4-jasmyne/p/ahbjgj9fjj/ga/gps4/
Greedfall  - Ps4;218.94;5;0;https://www.magazineluiza.com.br/greedfall-ps4-sony/p/kffe379da2/ga/gps4/
Super Mario Party - Switch;343.16;5;0;https://www.magazineluiza.com.br/super-mario-party-switch-nintendo/p/kj6k95gh28/ga/gans/
LittleBigPlanet 3 - PS 4;138.47;5;0;https://www.magazineluiza.com.br/littlebigplanet-3-ps-4-sony/p/je8ggk012c/ga/gps4/
Console Microsoft Xbox Series S, 512GB, Branco - RRS-00006;2599.9;5;0;https://www.magazineluiza.com.br/console-microsoft-xbox-series-s-512gb-branco-rrs-00006/p/gfh1h07h9d/ga/xbss/
Controle Sony Dualshock 4 Preto sem fio + Voucher Fifa 21 Ultimate + 14 dias PSN - PS4;567.18;5;0;https://www.magazineluiza.com.br/controle-sony-dualshock-4-preto-sem-fio-voucher-fifa-21-ultimate-14-dias-psn-ps4/p/fj838612k0/ga/gps4/
Video Game Master SYSTEM Tectoy - 132 Jogos Completos   2 Joystics - MSEB - 132 Jogos AZUL Bivolt;330.89;5;0;https://www.magazineluiza.com.br/video-game-master-system-tectoy-132-jogos-completos-2-joystics-mseb-132-jogos-azul-bivolt/p/he5f15ggc7/ga/masy/
Video Game Master System Evolution Sega TecToy 132 Jogos Bivolt;399.59;5;0;https://www.magazineluiza.com.br/video-game-master-system-evolution-sega-tectoy-132-jogos-bivolt-tec-toy/p/fe2j6860h6/ga/masy/
Vídeo Game Atari Flashback 7 com 101 Jogos na Memória 2 Joysticks com Fio;474.05;1;1;https://www.magazineluiza.com.br/video-game-atari-flashback-7-com-101-jogos-na-memoria-2-joysticks-com-fio/p/eb370kb5jf/ga/gaat/
Master System Plug and Play - Tectoy com 40 Jogos na Memória;165.45;5;0;https://www.magazineluiza.com.br/master-system-plug-and-play-tectoy-com-40-jogos-na-memoria/p/aa8k2hf928/ga/masy/
Halo 3  - Xbox-360-One;71.98;5;0;https://www.magazineluiza.com.br/halo-3-xbox-360-one-microsoft/p/ff6h04gaaa/ga/gaxb/
Nintendo Switch 32GB 1 Controle Joy-Con - Vermelho e Azul;3125.5;5;0;https://www.magazineluiza.com.br/nintendo-switch-32gb-1-controle-joy-con-vermelho-e-azul-universal/p/eja6gbbhej/ga/gans/
Xenoblade Chronics: Definitive Edition - Switch;342.14;5;0;https://www.magazineluiza.com.br/xenoblade-chronics-definitive-edition-switch-nintendo/p/beb4b3d0j1/ga/nds3/
The Falconeer Day One Edition - Xbox One & Xbox Series X;251.09;5;0;https://www.magazineluiza.com.br/the-falconeer-day-one-edition-xbox-one-xbox-series-x-microsoft/p/hhb8c24dac/ga/gxon/
Alex Kidd in Miracle World DX - Xbox Series X;246.22;5;0;https://www.magazineluiza.com.br/alex-kidd-in-miracle-world-dx-xbox-series-x-microsoft/p/af906bf48e/ga/gxon/
Cabo Audio e Vídeo - Super Nintendo;22.41;3;2;https://www.magazineluiza.com.br/cabo-audio-e-video-super-nintendo/p/ej23h56324/ga/nido/
Deformers;73.37;5;0;https://www.magazineluiza.com.br/deformers-gametrust/p/jh0e0c100b/ga/gps4/
Console Retro Atari Flashback 8 Classic Game com 105 Jogos;436.2;5;0;https://www.magazineluiza.com.br/console-retro-atari-flashback-8-classic-game-com-105-jogos/p/ec2641h416/ga/cojc/
Xbox One Gears 5;120.89;5;0;https://www.magazineluiza.com.br/xbox-one-gears-5/p/ccc6afbcdk/ga/gxon/
Cabo USB de Transferencia de Dados e Carregador PSVITA PSV 1000 video game;23.4;5;1;https://www.magazineluiza.com.br/cabo-usb-de-transferencia-de-dados-e-carregador-psvita-psv-1000-video-game-cbvita/p/bc55896b78/ga/copv/
Console Retro Atari Flashback 8 Classic Game com 105 Jogos;353.02;5;0;https://www.magazineluiza.com.br/console-retro-atari-flashback-8-classic-game-com-105-jogos/p/bcecc41f1a/ga/gaat/
Nintendo Switch 32GB Console Cinza;2761.65;5;0;https://www.magazineluiza.com.br/nintendo-switch-32gb-console-cinza/p/abc82cb8b6/ga/gans/
Console Atari Flashback 8 Classic 105 Jogos AR3220 Atari;401.55;5;0;https://www.magazineluiza.com.br/console-atari-flashback-8-classic-105-jogos-ar3220-atari/p/aa35gb77aa/ga/gaat/
The Legend of Zelda: Ocarina of Time Nintendo Selects - 3DS;183.74;5;0;https://www.magazineluiza.com.br/the-legend-of-zelda-ocarina-of-time-nintendo-selects-3ds/p/ek11ja3beb/ga/gads/
Console Atari Flashback Pacman Wd3306 2017;334.76;5;0;https://www.magazineluiza.com.br/console-atari-flashback-pacman-wd3306-2017-vila-brasil/p/ea70j95d49/ga/gaat/
Capa PS4 Controle Case - Ratchet & Clank;31.49;5;0;https://www.magazineluiza.com.br/capa-ps4-controle-case-ratchet-clank-pop-arte-skins/p/dk7j1ga8ad/ga/gps4/
Dreams;91.97;5;0;https://www.magazineluiza.com.br/dreams-sony/p/abjhcc64h2/ga/gps4/
Jogo Starblood Arena VR - PS4 VR;263.9;5;0;https://www.magazineluiza.com.br/jogo-starblood-arena-vr-ps4-vr-sony/p/gajk25a239/ga/gps4/
Capa PS4 Controle Case - Days Of Play Edição Limitada;31.49;5;0;https://www.magazineluiza.com.br/capa-ps4-controle-case-days-of-play-edicao-limitada-pop-arte-skins/p/daba83j010/ga/gps4/
L.A. Noire - Xbox-360;99.26;5;0;https://www.magazineluiza.com.br/l-a-noire-xbox-360-microsoft/p/jg25363aj8/ga/gaxb/
Console Xbox Serie S 500Gb Ssd 2 Controles Bluetooth Microsoft;3450.63;5;0;https://www.magazineluiza.com.br/console-xbox-serie-s-500gb-ssd-2-controles-bluetooth-microsoft/p/hh345dee7e/ga/otga/
Console Gamer GameDroid com 2 Controles;1128.17;5;0;https://www.magazineluiza.com.br/console-gamer-gamedroid-com-2-controles-vila-brasil/p/kdhccce3f0/ga/otga/
Console Xbox Series S 512GB SSD + 1 Controle Branco - Microsoft;2538.9;5;0;https://www.magazineluiza.com.br/console-xbox-series-s-512gb-ssd-1-controle-branco-microsoft/p/bkj1cch862/ga/otga/
Xbo Series S 512GB cor branco;2800.0;5;0;https://www.magazineluiza.com.br/xbo-series-s-512gb-cor-branco/p/kej71b157f/ga/xbss/
Alex Kidd in Miracle World DX - Sega;204.59;5;0;https://www.magazineluiza.com.br/alex-kidd-in-miracle-world-dx-sega/p/gdfjdb9kjh/ga/otga/
Fallout Shelter;232.41;5;0;https://www.magazineluiza.com.br/fallout-shelter-galapagos-jogos/p/bbhe66c46a/ga/otga/
That's You;105.0;5;0;https://www.magazineluiza.com.br/that-s-you-sony-computer-entertainment/p/cbb6je9gk5/ga/gps4/
Console Nintendo Switch com Joy-Con 2 em 1 - Azul/Vermelho;2642.49;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-com-joy-con-2-em-1-azul-vermelho/p/ff5aff58j1/ga/coni/
Conan  - Xbox-360;112.46;5;0;https://www.magazineluiza.com.br/conan-xbox-360-microsoft/p/eg0jdjkhk2/ga/gaxb/
Console Nintendo Switch 32GB Com Controle Joy-Con HBDSKABA1;2999.0;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-32gb-com-controle-joy-con-hbdskaba1/p/kjge9db219/ga/coni/
Console nintendo switch neon blue red nacional - nintendo;2999.9;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-neon-blue-red-nacional-nintendo/p/bf93hjc82b/ga/coni/
Overcooked Special Edition - Switch;212.96;5;0;https://www.magazineluiza.com.br/overcooked-special-edition-switch-nintendo/p/kefc18e00j/ga/gans/
Console Xbox Series S Microsoft com 500GB SSD e 01 Controle;2913.9;5;0;https://www.magazineluiza.com.br/console-xbox-series-s-microsoft-com-500gb-ssd-e-01-controle/p/ekhehh65cc/ga/xbss/
The Legend Of Zelda: Breath Of The Wild -;375.63;5;0;https://www.magazineluiza.com.br/the-legend-of-zelda-breath-of-the-wild-switch/p/be75e95392/ga/otga/
Kit Camiseta Casal Player 1 E Player 2 - Video Game - Jogos;62.91;5;0;https://www.magazineluiza.com.br/kit-camiseta-casal-player-1-e-player-2-video-game-jogos-loja-bobkin/p/af8h5egh8e/ga/otga/
Paper Mario: The Origami King - Switch;379.1;5;0;https://www.magazineluiza.com.br/paper-mario-the-origami-king-switch-nintendo/p/habg2ha195/ga/coni/
Console New  Switch 32GB;2460.5;5;0;https://www.magazineluiza.com.br/console-new-switch-32gb/p/ej5d4bk6h0/ga/otga/
Console Retro Atari Flashback 8 Classic Game com 105 Jogos;561.45;5;0;https://www.magazineluiza.com.br/console-retro-atari-flashback-8-classic-game-com-105-jogos-vila-brasil/p/ba2cj8bahb/ga/gaat/
Atari Flashback 8 C/ 105 Jogos Classicos;449.99;5;0;https://www.magazineluiza.com.br/atari-flashback-8-c-105-jogos-classicos/p/ee2k79441g/ga/gaat/
Capa PS4 Controle Case - Death Stranding Bundle;31.49;5;0;https://www.magazineluiza.com.br/capa-ps4-controle-case-death-stranding-bundle-pop-arte-skins/p/efak65j897/ga/gap4/
Console Atari Flashback Pacman Wd3306 2017;334.76;5;0;https://www.magazineluiza.com.br/console-atari-flashback-pacman-wd3306-2017-vila-brasil/p/fcb1bkg0c9/ga/gaat/
Melissa Mar Platform - Cores Original + NF;189.9;5;0;https://www.magazineluiza.com.br/melissa-mar-platform-cores-original-nf/p/dc0fd99ch8/ga/otga/
Legend of Mana - Switch;342.14;5;0;https://www.magazineluiza.com.br/legend-of-mana-switch-nintendo/p/gcj3j99aj9/ga/gans/
Console Plug N Play Dreamgear Com 140 Jogos;182.28;5;0;https://www.magazineluiza.com.br/console-plug-n-play-dreamgear-com-140-jogos/p/jbeje44499/ga/otga/
Console Atari Flashback Blast Vol.1 Wd3302 - 20 Jogos;327.85;5;0;https://www.magazineluiza.com.br/console-atari-flashback-blast-vol-1-wd3302-20-jogos-vila-brasil/p/jf1877aff4/ga/gaat/
Console Xbox Series S All Digital 512GB Branco - Microsoft;2976.0;5;0;https://www.magazineluiza.com.br/console-xbox-series-s-all-digital-512gb-branco-microsoft/p/db8b5bahjh/rc/rcnm/
Atari Flashback 8;359.1;5;0;https://www.magazineluiza.com.br/atari-flashback-8-at-games/p/fjbc9a1ef2/ga/gaat/
Console Retro Atari Flashback 8 Classic Game com 105 Jogos;377.15;5;0;https://www.magazineluiza.com.br/console-retro-atari-flashback-8-classic-game-com-105-jogos/p/cbgk6d3004/ga/gaat/
Atari Flashback Classics Nintendo Switch;288.21;5;0;https://www.magazineluiza.com.br/atari-flashback-classics-nintendo-switch/p/kkd8kjj9h6/ga/gaat/
Console Retro Atari Flashback 8 Classic Game com 105 Jogos;427.49;5;0;https://www.magazineluiza.com.br/console-retro-atari-flashback-8-classic-game-com-105-jogos/p/kkjfha52ej/ga/cojc/
Alex Kidd in Miracle World Dx Switch;362.61;5;0;https://www.magazineluiza.com.br/alex-kidd-in-miracle-world-dx-switch-merge/p/jhbcg25a95/ga/coni/
Console Namco Museum Mini - Preto (Dgunl-3226);1226.45;5;0;https://www.magazineluiza.com.br/console-namco-museum-mini-preto-dgunl-3226-vila-brasil/p/dgkj5gbkce/ga/otga/
Console Nintendo Switch com Joy-Con 2 em 1 - Preto/Cinza;2642.49;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-com-joy-con-2-em-1-preto-cinza/p/eb8j30405g/ga/otga/
Console Retro Atari Flashback 8 Classic Game com 105 Jogos;561.45;5;0;https://www.magazineluiza.com.br/console-retro-atari-flashback-8-classic-game-com-105-jogos-vila-brasil/p/kcb35c6d8d/ga/gaat/
Pokemon Alpha Sapphire - 3Ds;306.89;5;0;https://www.magazineluiza.com.br/pokemon-alpha-sapphire-3ds-nintendo/p/aceb6k514c/ga/otga/
The Last Of Us Part II -PS4;158.81;5;1;https://www.magazineluiza.com.br/the-last-of-us-part-ii-ps4-sony/p/jdjja100d3/ga/otga/
Spacechase Atari Original;93.0;5;0;https://www.magazineluiza.com.br/spacechase-atari-original/p/kfe62bc590/ga/gaat/
Atari Flashback Classics Volume 3;212.97;5;0;https://www.magazineluiza.com.br/atari-flashback-classics-volume-3-sony/p/ed60f877c0/ga/gaat/
Pokemon X - 3Ds;306.89;5;0;https://www.magazineluiza.com.br/pokemon-x-3ds-nintendo/p/eccke03c9g/ga/gads/
Jogo Super Stardust Ultra VR -Playstation VR;164.69;5;0;https://www.magazineluiza.com.br/jogo-super-stardust-ultra-vr-playstation-vr-sony/p/fk1e5jj9a6/ga/otga/
5 Presilha De Painel Console Suzuki Jimny Vitara 0940908326;23.4;5;0;https://www.magazineluiza.com.br/5-presilha-de-painel-console-suzuki-jimny-vitara-0940908326/p/fhj3g079dc/ga/otga/
Ghostbusters The Video Game Remastered - Switch;460.25;5;0;https://www.magazineluiza.com.br/ghostbusters-the-video-game-remastered-switch/p/ch8kf8fch2/ga/otga/
Kit Camiseta Casal Player 1 E Player 2 - Video Game - Jogos - Cinza;62.91;5;0;https://www.magazineluiza.com.br/kit-camiseta-casal-player-1-e-player-2-video-game-jogos-cinza-loja-bobkin/p/hgcdh4b5fh/ga/otga/
Console Perola com Chave Preto C/ Branco;445.55;5;0;https://www.magazineluiza.com.br/console-perola-com-chave-preto-c-branco-dompel/p/ef734312f1/ga/otga/
Tomada Cabos USB HDMI 2din Multimidia Console Universal;87.61;5;0;https://www.magazineluiza.com.br/tomada-cabos-usb-hdmi-2din-multimidia-console-universal-ferkauto/p/ab81e1a0a1/ga/otga/
Console Atari Flashback Blast Vol.1 Wd3302 - 20 Jogos;327.85;5;0;https://www.magazineluiza.com.br/console-atari-flashback-blast-vol-1-wd3302-20-jogos-vila-brasil/p/jc2hejbebh/ga/gaat/
Console Nintendo Switch Lite 32Gb Turquesa;2324.07;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-lite-32gb-turquesa/p/ch967h50e7/ga/coni/
Console Perola com Chave Preto C/ Branco - Dompel;377.91;5;0;https://www.magazineluiza.com.br/console-perola-com-chave-preto-c-branco-dompel/p/je4kggdf4b/ga/otga/
Console Nintendo Switch Lite 32Gb Amarelo;2324.07;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-lite-32gb-amarelo/p/de6c32491e/ga/coni/
Console teclas kx-hdv230/330/430 (40teclas) kx-hdv20xb preto;894.01;5;0;https://www.magazineluiza.com.br/console-teclas-kx-hdv230-330-430-40teclas-kx-hdv20xb-preto-panasonic/p/gbd880e052/ga/otga/
Console Nintendo Switch Lite 32Gb Coral;2324.07;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-lite-32gb-coral/p/kb5j08ebfg/ga/coni/
Heroland Knowble Edition - Switch;297.59;5;0;https://www.magazineluiza.com.br/heroland-knowble-edition-switch-nintendo/p/ef94fc2127/ga/otga/
Console Perola Com Chave Rosa C/ Branco - Dompel;364.5;5;0;https://www.magazineluiza.com.br/console-perola-com-chave-rosa-c-branco-dompel/p/eg23ac7b52/ga/otga/
Alex Kidd in Miracle World DX;270.81;5;0;https://www.magazineluiza.com.br/alex-kidd-in-miracle-world-dx-switch/p/aj4e9fc685/ga/otga/
