descricao;preco;avaliacao;quantidade_avaliacoes;URL
Geladeira Refrigerador Brastemp 375 Litros 2 Portas Frost Free BRM44HB;2804.92;4;3;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-375-litros-2-portas-frost-free-brm44hb/p/eh9cj7a426/ed/refr/
Geladeira/Refrigerador Consul Frost Free 1 Porta;2279.05;4;6;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-1-porta-branca-342l-com-gavetao-crb39/p/010038301/ed/refr/
Geladeira Consul Frost Free Duplex 450 litros com Espaço Flex cor Branca Com Painel Eletrônico Externo CRM56HB;3679.0;5;2;https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-450-litros-com-espaco-flex-cor-branca-com-painel-eletronico-externo-crm56hb/p/ebg3j311f7/ed/refr/
Geladeira/Refrigerador Electrolux Frost Free;3399.0;5;3;https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-duplex-platinum-382l-tw42s/p/013087700/ed/refr/
Geladeira Consul Frost Free Duplex 450 litros com Espaço Flex cor Inox Com Painel Eletrônico Externo CRM56HK;4019.0;4;8;https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-450-litros-com-espaco-flex-cor-inox-com-painel-eletronico-externo-crm56hk/p/ff5a96gkb7/ed/refr/
Geladeira/Refrigerador Philco Frost Free;4934.21;5;1;https://www.magazineluiza.com.br/geladeira-refrigerador-philco-frost-free-side-by-side-434l-prf533id/p/227666200/ed/refr/
Geladeira Electrolux DC35A Defrost 2 Portas 260L;1979.91;4;6;https://www.magazineluiza.com.br/geladeira-electrolux-dc35a-defrost-2-portas-260l/p/fg80ke94a7/ed/refr/
Geladeira/Refrigerador Smart LG Side by Side;9879.05;5;0;https://www.magazineluiza.com.br/geladeira-refrigerador-smart-lg-side-by-side-inverter-601l-com-lg-thinq-gc-l247sluv-inox/p/224801700/ed/grsb/
Geladeira/Refrigerador Panasonic Frost Free;3229.05;4;24;https://www.magazineluiza.com.br/geladeira-refrigerador-panasonic-frost-free-duplex-branco-435l-nr-bt50bd3w/p/221811500/ed/refr/
Geladeira Frost Free Electrolux DF44 402 Litros Duplex Branca 110V;2609.1;4;3;https://www.magazineluiza.com.br/geladeira-frost-free-electrolux-df44-402-litros-duplex-branca-110v/p/da9g8dak02/ed/refr/
Geladeira Electrolux Top Freezer Frost Free Efficient Black Inox Look com Tecnologia Autosense (IF55B);4799.0;5;0;https://www.magazineluiza.com.br/geladeira-electrolux-top-freezer-frost-free-efficient-black-inox-look-com-tecnologia-autosense-if55b/p/ddf79j1288/ed/refr/
Geladeira/Refrigerador Consul Frost Free Duplex;2948.0;4;118;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-duplex-386l-com-prateleira-dobravel-crm43-nkana/p/013000000/ed/ref2/
Geladeira Electrolux Cycle Defrost 2 Portas DC51 475L Branca 110V;2788.2;5;1;https://www.magazineluiza.com.br/geladeira-electrolux-cycle-defrost-2-portas-dc51-475l-branca-110v/p/ck1ea5aceb/ed/refr/
Geladeira Brastemp Inverse Frost Fr 2 Portas 443L Evox;4159.9;5;1;https://www.magazineluiza.com.br/geladeira-brastemp-inverse-frost-fr-2-portas-443l-evox/p/fgf258c4cd/ed/refr/
Geladeira/Refrigerador Consul Frost Free;2199.0;4;99;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-1-porta-branco-facilite-300l-crb36-abana/p/010038101/ed/refr/
Geladeira/Refrigerador Continental Frost Free;2999.0;4;4;https://www.magazineluiza.com.br/geladeira-refrigerador-continental-frost-free-duplex-prata-394l-tc44s/p/013090400/ed/ref2/
Geladeira Brastemp Frost Free Duplex 462 litros cor Inox com Turbo Control;4163.26;5;0;https://www.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-462-litros-cor-inox-com-turbo-control/p/7770826/ed/refr/
Geladeira Consul Frost Free Duplex 397 litros Evox com freezer embaixo - CRE44AK;4309.0;4;45;https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-397-litros-evox-com-freezer-embaixo-cre44ak/p/ehgk47dde4/ed/refr/
Refrigerador Samsung Frost Free Side by Side 501L;8899.0;4;3;https://www.magazineluiza.com.br/refrigerador-samsung-frost-free-side-by-side-501l-rs50n3413s8-az/p/221120200/ed/grsb/
Geladeira Consul Frost Free Evox 397L CRE44AK;3749.0;5;4;https://www.magazineluiza.com.br/geladeira-consul-frost-free-evox-397l-cre44ak/p/eee6b486j9/ed/rinv/
Geladeira/Refrigerador Electrolux Frost Free;3099.0;4;15;https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-duplex-branca-382l-tf42/p/221169200/ed/refr/
Geladeira panasonic 2 portas bt50 branca 435l - 127v;2699.0;5;1;https://www.magazineluiza.com.br/geladeira-panasonic-2-portas-bt50-branca-435l-127v/p/kkhe3ageg3/ed/refr/
Geladeira Top Freezer Duplex Electrolux 402 Litros Frost Free Inox DF44S - 110V;2600.05;5;0;https://www.magazineluiza.com.br/geladeira-top-freezer-duplex-electrolux-402-litros-frost-free-inox-df44s-110v/p/adh835h3fg/ed/refr/
Geladeira Consul Frost Free 342 litros cor Inox com Gavetão Hortifruti CRB39AKANA;1925.42;4;22;https://www.magazineluiza.com.br/geladeira-consul-frost-free-342-litros-cor-inox-com-gavetao-hortifruti-crb39akana/p/hbcfb68f32/ed/refr/
Geladeira Frost Free Electrolux TF55S 431 Litros Duplex Top Freezer Platinum 110V;;5;0;https://www.magazineluiza.com.br/geladeira-frost-free-electrolux-tf55s-431-litros-duplex-top-freezer-platinum-110v/p/dhfkjfce93/ed/refr/
Geladeira Samsung Frost Free Duplex BAROSA com Smart Sensor e Dispenser de Água 432L Inox Look;6199.0;5;1;https://www.magazineluiza.com.br/geladeira-samsung-frost-free-duplex-barosa-com-smart-sensor-e-dispenser-de-agua-432l-inox-look/p/acag74hdd8/ed/rinv/
Geladeira/Refrigerador Samsung Frost Free Inverter;4464.05;5;1;https://www.magazineluiza.com.br/geladeira-refrigerador-samsung-frost-free-inverter-duplex-black-look-460l-powervolt-evolution-rt46/p/227187200/ed/refr/
Geladeira/Refrigerador Brastemp Frost Free Inverse;6079.05;4;5;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-inverse-419l-bry59bk/p/227306400/ed/rinv/
Geladeira Consul Facilite Frost Free 1 Porta 342L CRB39A Branco;2199.0;5;0;https://www.magazineluiza.com.br/geladeira-consul-facilite-frost-free-1-porta-342l-crb39a-branco/p/cf84f812b3/ed/ref1/
