Descrição,Preço,Estrelas,TotalReviews,Url,Loja,Categoria
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3,4GHz, 20GB RAM, 1TB SSD, USB-C, FP Reader, Webcam, HDMI, Mytix Ethernet USB Hub, Win 10 S, preto",6336.3,0.0,0.0,https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg1_1?ie=UTF8&adId=A0087570ZIZ7A0QFCNLW&url=%2FNotebook-Gateway-Laptop-i3-1005G1-Ethernet%2Fdp%2FB08N5L51NZ%2Fref%3Dsr_1_31_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634260358%26s%3Dcomputers%26sr%3D1-31-spons%26ufe%3Dapp_do%253Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147%26psc%3D1&qualifier=1634260358&id=8076377365282487&widgetName=sp_btf,Amazon,Notebook
"Samsung BookIntel® Core™ i3-1115G4, 11 Geração, Windows 10 Home, 4GB, 1TB, 15.6'' Full HD LED, 1.86kg",2800.03,3.6,37.0,https://www.amazon.com.br/Samsung-BookIntel%C2%AE-i3-1115G4-Gera%C3%A7%C3%A3o-Windows/dp/B09446QHJ3/ref=sr_1_28?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-28&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook Dell Inspiron i3501-U10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Linux Preto",2849.0,4.9,12.0,https://www.amazon.com.br/Notebook-Dell-Inspiron-i3501-U10P-Gera%C3%A7%C3%A3o/dp/B09477BY1J/ref=sr_1_29?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-29&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
Notebook ASUS X515JF-EJ153T INTEL CORE I5 1035G1 / NVIDIA MX130 / 8 GB / 256 GB SSD / Windows 10 Home / Cinza,4699.0,5.0,4.0,https://www.amazon.com.br/Notebook-ASUS-X515JF-EJ153T-1035G1-Windows/dp/B097F86BCY/ref=sr_1_30?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-30&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
Notebook Acer Aspire 5 A515-54G-52C1 Core i5-10210U 8GB Win10+,4358.19,2.7,7.0,https://www.amazon.com.br/Notebook-Aspire-A515-54G-52C1-i5-10210U-Win10/dp/B09B8MG464/ref=sr_1_31?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-31&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"NOTEBOOK SAMSUNG BOOK 15,6"" FHD/ I5-1135G7/ 8GB/ 1TB/ WIN 10 HOME",4084.05,4.1,18.0,https://www.amazon.com.br/NOTEBOOK-SAMSUNG-BOOK-I5-1135G7-HOME/dp/B0942Z846V/ref=sr_1_32?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-32&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook Lenovo Ultrafino ideapad S145 i7-1065G7, 8GB 256GB SSD Placa de Vídeo Intel® Iris Plus Windows 10 15.6"" Full HD, Prata",4547.72,4.6,472.0,https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-ideapad-i7-1065G7/dp/B08GHMC5LF/ref=sr_1_33?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-33&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
Notebook ASUS VivoBook X543UA-DM3457T INTEL CORE I5 8250U / Intel® HD graphics 620 / 8 GB / 256 GB / Windows 10 Home / Cinza Escuro,3148.9,4.8,5.0,https://www.amazon.com.br/Notebook-ASUS-VivoBook-X543UA-DM3457T-graphics/dp/B099KWGNNK/ref=sr_1_35?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-35&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
NOTEBOOK GAMER ACER AN515-55-50JB I5-10300H 16GB RAM 512SSD 4GB NVIDIA GeForce GTX 1650TI,8549.0,3.9,8.0,https://www.amazon.com.br/NOTEBOOK-ACER-AN515-55-50JB-I5-10300H-GeForce/dp/B08SFJ616H/ref=sr_1_36?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-36&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
Notebook Intel Pentium 4 GB 120GB Compaq CQ25 Tela14'' Windows 10 Cinza,2069.57,3.7,57.0,https://www.amazon.com.br/Notebook-Pentium-Compaq-Tela14-Windows/dp/B08DXRV78N/ref=sr_1_37?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260360&s=computers&sr=1-37&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
