;Descrição;Preço;TotalReviews;Loja;Categoria;Armazenamento
1337;Smartphone Samsung Galaxy A01 32GB 4G Wi-Fi Tela 5.7'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul;1139.05;597.0;Americanas;Smartphone;32gb
1342;Smartphone Samsung Galaxy A10s 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Dupla + Selfie 8MP - Preto;918.34;604.0;Americanas;Smartphone;32gb
1355;Smartphone LG K22 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul;664.05;89.0;Americanas;Smartphone;32gb
1357;"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Preto";930.99;1899.0;Americanas;Smartphone;32gb
1367;Smartphone Samsung Galaxy A01 32GB 4G Wi-Fi Tela 5.7'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Vermelho;1199.0;679.0;Americanas;Smartphone;32gb
1368;"Smartphone Xiaomi Redmi 9A 32GB 2GB RAM Tela 6.53"" Câmera Traseira 13MP Frontal de 5MP Bateria 5000mAh Azul";929.0;5.0;Americanas;Smartphone;32gb
1369;Smartphone Motorola Moto G8 Play 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Tripla + Selfie 8MP - Preto Ônix;2146.8;830.0;Americanas;Smartphone;32gb
1373;Smartphone Samsung Galaxy A10s 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Dupla + Selfie 8MP - Vermelho;918.34;568.0;Americanas;Smartphone;32gb
1378;Smartphone Samsung Galaxy A10s 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Dupla + Selfie 8MP - Azul;918.34;555.0;Americanas;Smartphone;32gb
1380;Smartphone Motorola Moto E6s 32GB 4G Wi-Fi Tela 6.1'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Pink;719.1;19.0;Americanas;Smartphone;32gb
1386;Smartphone Samsung Galaxy A10s 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Dupla + Selfie 8MP - Vermelho Absurdo;1074.19;102.0;Americanas;Smartphone;32gb
1388;"Smartphone Asus Zenfone Max Shot 3GB-32GB, Tela 6,2"", Câmera Tripla 12mp+5mp+8mp - Azul";781.08;11.0;Americanas;Smartphone;32gb
