Descrição;Preço;TotalReviews;Loja;Categoria;Processador
"Notebook Positivo Motion I341TB Intel® Core™ i3 Windows 10 Home 14"" - Cinza";2299.98;3.0;Amazon;Notebook;i3
"Notebook Hp 256-g8, Core i3, 4gb, 128gb Ssd, Tela de 15"" - 4a8p7la";3249.0;0.0;Amazon;Notebook;i3
"Notebook Lenovo V14 i3-1115G4 4GB 128GB SSD Windows 10 Home 14"" 82NM0005BR Preto";3009.9;0.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3.4GHz, 20GB de RAM, 512GB SSD, USB-C, FP Reader, Webcam, HDMI, Ethernet Mytix USB Hub, Win 10 S, Verde";5793.4;0.0;Amazon;Notebook;i3
Notebook Gateway ultrafino para laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 12 GB RAM, 512 GB SSD, USB-C, leitor FP, webcam, HDMI, cabo HDMI Mytix, Win 10 S, verde;5384.35;0.0;Amazon;Notebook;i3
Notebook Acer A315 Core I3-1005g1 20gb 256ssd+1tb 15,6 Hd;4449.0;0.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3,4GHz, 12GB RAM, 512GB SSD, USB-C, leitor FP, webcam, HDMI, hub USB Mytix, Win 10 S, preto";5508.95;0.0;Amazon;Notebook;i3
Notebook Gateway ultrafino para laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 12 GB RAM, 256 GB SSD, USB-C, leitor FP, webcam, HDMI, cabo HDMI Mytix, Win 10 S, verde;4944.2;0.0;Amazon;Notebook;i3
"Notebook Ultra Intel Core I3 4GB 1TB HDD Windows 10 Home 14,1"" Prata - UB421";2940.85;1.0;Amazon;Notebook;i3
"Notebook Gateway Ultra Slim Laptop, 14,1"" IPS FHD, Intel Core i3-1005G1 até 3.4GHz, 12GB de RAM, SSD de 256GB, USB-C, FP Reader, Webcam, HDMI, Ethernet Mytix USB Hub, Win 10 S, Verde";5036.32;0.0;Amazon;Notebook;i3
Notebook Gateway Ultra Slim Laptop, 14,1 polegadas IPS FHD, Intel Core i3-1005G1 até 3,4 GHz, 4 GB de RAM, 128 GB SSD, USB-C, leitor FP, webcam, HDMI, hub USB Mytix, Win 10 S, verde;4823.13;0.0;Amazon;Notebook;i3
"Notebook Lenovo V14 i3-1115G4 8GB 256GB SSD Windows 10 Home 14"" 82NM0006BR Preto";3469.0;0.0;Amazon;Notebook;i3
Notebook Acer A315 Core I3-1005g1 8gb 256 Ssd Tela 15,6 Hd;3599.0;0.0;Amazon;Notebook;i3
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KT1BR;2887.05;93.0;Americanas;Notebook;i3
Notebook Acer Aspire 5 A514-53-39KH Intel Core I3 8GB ram 256GB ssd 14' Windows 10;3040.02;19.0;Americanas;Notebook;i3
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i3-10110U 4GB 1TB W10 15.6"" Prata";2852.72;39.0;Americanas;Notebook;i3
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Branco NP550XDA-KT2BR;2839.55;52.0;Americanas;Notebook;i3
"Kit Notebook Dell Inspiron i3501-M10PC 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 + Capa Essential";2744.1;11.0;Americanas;Notebook;i3
"Notebook Dell Inspiron i3501-M10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 Preto";2609.1;26.0;Americanas;Notebook;i3
"Notebook 2 em 1 Dell Inspiron 5406-M10S 14"" Touch 11ª Geração Intel Core i3 4GB 128GB SSD Windows 10 McAfee";3959.1;12.0;Americanas;Notebook;i3
"Notebook Dell Inspiron i3501-M25P 15.6"" HD 10ª Geração Intel Core i3 4GB 256GB SSD Windows 10 Preto";3149.1;16.0;Americanas;Notebook;i3
Notebook Acer Aspire 5 A514-53-32LB Intel Core I3 Windows 10 Home 4GB ram 128GB ssd 14.0';3134.05;7.0;Americanas;Notebook;i3
"Notebook Dell Inspiron i3501-U20P 15.6"" HD 10ª Geração Intel Core i3 4GB 128GB SSD Linux Preto";2834.1;1.0;Americanas;Notebook;i3
"Notebook Dell Inspiron i3501-U10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Linux Preto";2744.1;2.0;Americanas;Notebook;i3
"Notebook Dell Inspiron i3501-U25P 15.6"" HD 10ª Geração Intel Core i3 4GB 256GB SSD Linux Preto";3239.1;4.0;Americanas;Notebook;i3
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto + Office 365 Personal";3349.99;1.0;Americanas;Notebook;i3
"Notebook Lenovo V14 i3-1115G4 8GB 256GB SSD Windows 10 Home 14"" 82NM0006BR Preto";3052.72;0.0;Americanas;Notebook;i3
"Kit Notebook 2 em 1 Dell Inspiron 5406-OS10SF 14"" Touch 11ª Ger Intel Core i3 4GB 128GB SSD Windows 10 Microsoft 365";3959.1;1.0;Americanas;Notebook;i3
"Notebook Dell Inspiron i3501-M20P 15.6"" HD 10ª Geração Intel Core i3 4GB 128GB SSD Windows 10 Preto";2969.1;1.0;Americanas;Notebook;i3
Notebook Lenovo i3 IdeaPad 3i 4GB 1TB 15.6 Win10 Prata;2859.12;1.0;Americanas;Notebook;i3
Notebook Positivo Motion Core i3 4GB 1TB Tela 14 HD Windows 10 Home;3097.98;3.0;Americanas;Notebook;i3
"Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6"" - Branco + Mochila Targus Intellect Essential 15,6"" - Black";3649.99;0.0;Americanas;Notebook;i3
"Kit Notebook Dell Inspiron i3501-M20PC 15.6"" HD 10ª G. Intel Core i3 4GB 128GB SSD Windows 10 Preto + Capa Essential";3014.1;2.0;Americanas;Notebook;i3
"Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15,6'' - Cinza Chumbo NP550XDA-KT1BR + Mochila Targus Geolite Essential 15,6"" - Cinza";3399.99;0.0;Americanas;Notebook;i3
"Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6"" - Branco + Mochila Targus Geolite Essential 15,6"" Cinza";3599.99;0.0;Americanas;Notebook;i3
Notebook Lenovo, Intel Core i3 10110U, 4GB, 1TB, Tela de 15,6, uhd Graphics, Prata, IdeaPad 3i - 82BS0002BR;3563.01;1.0;Americanas;Notebook;i3
"Kit Notebook Dell Inspiron i3501-M25PC 15.6"" HD 10ª Ger. Intel Core i3 4GB 256GB SSD Windows 10 Preto + Capa Essential";3194.1;0.0;Americanas;Notebook;i3
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15,6'' NP550XDA-KT2BR - Branco + Microsoft 365 Family - 2020;3409.98;0.0;Americanas;Notebook;i3
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15,6'' NP550XDA-KT1BR - Cinza Chumbo + Microsoft 365 Family - 2020;3347.63;0.0;Americanas;Notebook;i3
Notebook Positivo Intel Core I3-6157u 4gb Ssd 128gb Hdmi;2797.99;1.0;Americanas;Notebook;i3
Notebook Samsung Essentials E30 Intel Core i3-7020U Com HD ssd 240GB Memória 4GB DDR4 Tela 15,6 Full HD Win 10 – 350XAA- Titanium;4690.0;0.0;Americanas;Notebook;i3
Notebook Samsung i3 4GB 1TB 15,6 Book Win10 Cinza Chumbo;3079.12;0.0;Americanas;Notebook;i3
Notebook Samsung Book Intel Core i3, Windows 10, 4GB, 256GB ssd, 15.6'' Full HD LED;2969.1;0.0;Americanas;Notebook;i3
"Notebook Lenovo V14 i3-1115G4 8GB 256GB SSD Linux 14"" 82NMS00100 Preto";3343.12;0.0;Americanas;Notebook;i3
Notebook Samsung Book E30 10ª Intel Core i3 4GB 1TB W10 15,6 fhd - Prata;3099.99;0.0;Americanas;Notebook;i3
Notebook Samsung Book Intel Core i3-1115G4, Windows 10 Home, 4GB, 1TB, 15.6'' Full HD LED;3999.0;1.0;Americanas;Notebook;i3
Notebook Samsung Book Intel Core i3 1TB Tela 15.6 Windows 10 Home;3314.7;0.0;Americanas;Notebook;i3
Notebook Lenovo Ideapad 330 Intel Core i3 7020U, 4GB, HD ssd 240GB, 15.6, Win 10 Prata - 81FES00100SSD;4389.0;8.0;Americanas;Notebook;i3
Notebook Lenovo S145 15.6 I3-81300u 4gb 1tb Lin 81xms00000;2999.9;0.0;Americanas;Notebook;i3
Notebook Lenovo Ideapad 330 Intel Core i3 7020U, 8GB, HD SSD 240GB, 15.6, Win 10 Prata - 81FES00100-SSD;4499.0;5.0;Americanas;Notebook;i3
Notebook Samsung Book 11ª Intel Core i3-1115G4 4GB 256GB ssd 15,6 Full HD Linux, Cinza Chumbo;2933.04;0.0;Americanas;Notebook;i3
Notebook positivo master N4340 I3-10110U preto;4199.9;0.0;Americanas;Notebook;i3
"Notebook Acer Aspire 3 A315-53-343Y-SSD Intel® Core™ i3-7020U Memoria RAM de 4GB HD SSD 120GB + HD de 1TB Tela de 15.6""";4790.0;10.0;Americanas;Notebook;i3
Notebook Acer Aspire 3 A315-53-365 Com ssd de 240GB Intel Core i3-8130U 8ª Geração Memória ram de 4GB Tela de 15.6'' Windows 10;4685.0;1.0;Americanas;Notebook;i3
Notebook Samsung Core i3-1115G4 4GB 1TB Tela Full HD 15.6” Windows 10 Book NP550XDA-KT1BR;3099.0;272.0;Casas Bahia;Notebook;i3
"Notebook Lenovo Core i3-10110U 4GB 1TB Tela 15.6"" Windows 10 Ideapad 3i 82BS0002BR";2999.0;90.0;Casas Bahia;Notebook;i3
Notebook Acer Aspire 5 A514-53-32LB Intel Core I3 4GB RAM 128GB SSD 14.0` Windows 10;5599.0;52.0;Casas Bahia;Notebook;i3
Notebook Samsung Core i3-1115G4 8GB 1TB Tela Full HD 15.6” Windows 10 Book NP550XDA-KT5BR;3799.0;182.0;Casas Bahia;Notebook;i3
Notebook Samsung Core i3-1115G4 4GB 1TB Tela Full HD 15.6” Windows 10 Book NP550XDA-KT2BR;2999.0;74.0;Casas Bahia;Notebook;i3
"Notebook Dell Inspiron i3501-U10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Linux Preto";2999.0;109.0;Casas Bahia;Notebook;i3
"Notebook Dell Inspiron i3501-M10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 Preto";2399.0;25.0;Casas Bahia;Notebook;i3
Notebook Asus Core i3-7020U 4GB 256GB SSD Tela Full HD 15.6” Endless OS X543UA-DM3459;3799.0;2.0;Casas Bahia;Notebook;i3
"Notebook Intel Core I3 4GB RAM 1TB Ultra UB422 Tela 14.1"" Full HD Linux Prata";4699.0;5.0;Casas Bahia;Notebook;i3
Notebook Acer Aspire 5 A514-53-39KH Intel Core I3 8GB RAM 256GB SSD 14` Windows 10;5499.0;13.0;Casas Bahia;Notebook;i3
"Notebook Asus Core i3-6100U 4GB 256GB SSD Tela 15.6"" Windows 10 X543UA- GQ3157T";5199.0;52.0;Casas Bahia;Notebook;i3
"Notebook Dell Inspiron i3501-M20P 15.6"" HD 10ª Geração Intel Core i3 4GB 128GB SSD Windows 10 Preto";2313.0;22.0;Casas Bahia;Notebook;i3
Notebook Lenovo Core i3-10110U 4GB 256GB SSD Tela 15.6” Windows 10 Ideapad 3i 82BS0006BR;5199.0;0.0;Casas Bahia;Notebook;i3
